"in.c-looker.looker_data_18","us-east-1","5150","looker_data_18","","2018-11-29T12:27:39+0100","2018-12-05T20:13:38+0100","2018-12-05T20:13:38+0100","100","2048","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.looker_data_43","us-east-1","5150","looker_data_43","kbcjobs_run_by_token_desc","2018-12-10T13:59:11+0100","2018-12-20T20:27:31+0100","2018-12-20T20:27:31+0100","40","3072","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.looker_table_17","us-east-1","5150","looker_table_17","kbcjobs_job_start_date","2018-10-23T14:45:41+0200","2018-10-23T14:45:50+0200","2018-10-23T14:45:50+0200","702","41984","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.table_17","us-east-1","5150","table_17","","2018-10-23T14:37:17+0200","2018-10-23T14:37:23+0200","2018-10-23T14:37:23+0200","702","3584","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.table_19","us-east-1","5150","table_19","","2018-10-23T12:40:20+0200","2018-11-29T12:06:21+0100","2018-11-29T12:06:21+0100","100","2560","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.test_0201","us-east-1","5150","test_0201","","2019-02-01T17:01:12+0100","2019-02-01T17:01:22+0100","2019-02-01T17:01:22+0100","3","2048","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-looker.test_v02","us-east-1","5150","test_v02","","2019-02-01T17:54:46+0100","2019-02-01T17:54:57+0100","2019-02-01T17:54:57+0100","1","1024","False","True","in.c-looker","c-looker","in","2018-10-23T12:40:03+0200","2019-02-01T17:54:57+0100","False"
"in.c-mysql.addresses","us-east-1","5150","addresses","","2018-10-23T15:12:07+0200","2018-10-23T15:15:02+0200","2018-10-23T15:15:02+0200","1268","29184","False","True","in.c-mysql","c-mysql","in","2018-10-23T14:58:14+0200","2018-11-13T03:57:19+0100","False"
"in.c-mysql.order-items","us-east-1","5150","order-items","","2018-10-23T15:12:28+0200","2018-10-23T15:15:16+0200","2018-10-23T15:15:16+0200","1643","13824","False","True","in.c-mysql","c-mysql","in","2018-10-23T14:58:14+0200","2018-11-13T03:57:19+0100","False"
"in.c-mysql.orders","us-east-1","5150","orders","id","2018-10-23T14:58:17+0200","2018-10-23T15:14:48+0200","2018-10-23T15:14:48+0200","1268","33792","False","True","in.c-mysql","c-mysql","in","2018-10-23T14:58:14+0200","2018-11-13T03:57:19+0100","False"
"in.c-mysql.webinar_demo","us-east-1","5150","webinar_demo","","2018-11-13T03:57:13+0100","2018-11-13T03:57:18+0100","2018-11-13T03:57:19+0100","1","1024","False","True","in.c-mysql","c-mysql","in","2018-10-23T14:58:14+0200","2018-11-13T03:57:19+0100","False"
"in.c-mailgun.mailing_list_test","us-east-1","5150","mailing_list_test","","2019-01-07T20:05:32+0100","2019-01-07T20:05:40+0100","2019-01-07T20:05:40+0100","3","2048","False","True","in.c-mailgun","c-mailgun","in","2018-10-26T13:39:26+0200","2020-06-02T19:17:30+0200","False"
